[30-Jul-2021 07:12:22 UTC] PHP Parse error:  syntax error, unexpected '}', expecting end of file in /Users/julie/Documents/GitHub/wopi2021/wp-content/mu-plugins/jcp-meta_box/jcp-meta_box_page_medias_concertsligne.php on line 127
[30-Jul-2021 07:13:22 UTC] PHP Parse error:  syntax error, unexpected '}', expecting end of file in /Users/julie/Documents/GitHub/wopi2021/wp-content/mu-plugins/jcp-meta_box/jcp-meta_box_page_medias_concertsligne.php on line 127
[30-Jul-2021 07:15:22 UTC] PHP Parse error:  syntax error, unexpected '}', expecting end of file in /Users/julie/Documents/GitHub/wopi2021/wp-content/mu-plugins/jcp-meta_box/jcp-meta_box_page_medias_concertsligne.php on line 127
[30-Jul-2021 07:17:22 UTC] PHP Parse error:  syntax error, unexpected '}', expecting end of file in /Users/julie/Documents/GitHub/wopi2021/wp-content/mu-plugins/jcp-meta_box/jcp-meta_box_page_medias_concertsligne.php on line 127
[30-Jul-2021 07:18:22 UTC] PHP Parse error:  syntax error, unexpected '}', expecting end of file in /Users/julie/Documents/GitHub/wopi2021/wp-content/mu-plugins/jcp-meta_box/jcp-meta_box_page_medias_concertsligne.php on line 127
[30-Jul-2021 07:18:29 UTC] PHP Parse error:  syntax error, unexpected '}', expecting end of file in /Users/julie/Documents/GitHub/wopi2021/wp-content/mu-plugins/jcp-meta_box/jcp-meta_box_page_medias_concertsligne.php on line 122
[30-Jul-2021 07:18:29 UTC] PHP Parse error:  syntax error, unexpected '}', expecting end of file in /Users/julie/Documents/GitHub/wopi2021/wp-content/mu-plugins/jcp-meta_box/jcp-meta_box_page_medias_concertsligne.php on line 122
[30-Jul-2021 07:18:29 UTC] PHP Notice:  is_embed est appelée de la mauvaise manière. Les balises de requête conditionnelle ne fonctionnent pas avant le lancement de la requête. Avant cela, elles renvoient toujours le booléen <code>false</code>. Veuillez lire <a href="https://fr.wordpress.org/support/article/debugging-in-wordpress/">Débogage dans WordPress</a> (en) pour plus d’informations. (Ce message a été ajouté à la version 3.1.0.) in /Users/julie/Documents/GitHub/wopi2021/wp-includes/functions.php on line 5313
[30-Jul-2021 07:18:29 UTC] PHP Notice:  is_search est appelée de la mauvaise manière. Les balises de requête conditionnelle ne fonctionnent pas avant le lancement de la requête. Avant cela, elles renvoient toujours le booléen <code>false</code>. Veuillez lire <a href="https://fr.wordpress.org/support/article/debugging-in-wordpress/">Débogage dans WordPress</a> (en) pour plus d’informations. (Ce message a été ajouté à la version 3.1.0.) in /Users/julie/Documents/GitHub/wopi2021/wp-includes/functions.php on line 5313
[30-Jul-2021 09:51:19 UTC] PHP Warning:  Une erreur imprévue est survenue. Il pourrait y avoir un problème avec WordPress.org ou la configuration de ce serveur. Si vous continuez à rencontrer ce problème, veuillez vous rendre sur les <a href="https://wpfr.net/support">forums de support</a>. (WordPress n’a pas pu établir de connexion sécurisée vers WordPress.org. Veuillez contacter l’administrateur ou l’administratrice de votre serveur.) in /Users/julie/Documents/GitHub/wopi2021/wp-includes/update.php on line 175
[30-Jul-2021 09:51:19 UTC] PHP Warning:  Une erreur imprévue est survenue. Il pourrait y avoir un problème avec WordPress.org ou la configuration de ce serveur. Si vous continuez à rencontrer ce problème, veuillez vous rendre sur les <a href="https://wpfr.net/support">forums de support</a>. (WordPress n’a pas pu établir de connexion sécurisée vers WordPress.org. Veuillez contacter l’administrateur ou l’administratrice de votre serveur.) in /Users/julie/Documents/GitHub/wopi2021/wp-includes/update.php on line 410
